resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st1w10058-predomainjoin,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-pki-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10059-domainjoin,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10059-insight-agent-windows,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10059-predomainjoin,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10160-pre-domain-join,virtualmachines,st-tableau-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10160-rapid7-insight-agent-windows,virtualmachines,st-tableau-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-vulman-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-vulman-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10160-domain-join,virtualmachines,st-tableau-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-storm-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10049-rapid7-agent,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10060-domainjoin,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10060-insight-agent-windows,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10060-predomainjoin,virtualmachines,st-safeq-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st3w10073-dsc,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st3w10073-rapid7-agent,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-storm-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10048-dsc,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10048-rapid7-agent,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10049-dsc,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapss-dev-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
jsonaddomainextension,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-ctxmgmt-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-ctxmgmt-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-ctxmgmt-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-ctxmgmt-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-ctxmgmt-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
customscriptextension,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-ctxmgmt-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10054-domainjoin,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10054-insight-agent-windows,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10056-domainjoin,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10056-insight-agent-windows,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10056-predomainjoin,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10057-domainjoin,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
azurebackupwindowsworkload,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10057-insight-agent-windows,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
bginfo,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-access_control-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-access_control-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-access_control-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-biophase4-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-biophase4-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10006-insight-agent-windows,virtualmachines,st-biophase4-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-blueprism-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10200-domain-join,virtualmachines,st-cmpautotest-ss-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
jsonaddomainextension,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10200-pre-domain-join,virtualmachines,st-cmpautotest-ss-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
rapid7,virtualmachines,st-cmpautotest-ss-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
rapid7,virtualmachines,st-cmpdevworkstation-ss-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-condeco-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-condeco-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-condeco-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
bginfo,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
customscriptextension,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-ctxcloudconnectors-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10200-rapid7-insight-agent-windows,virtualmachines,st-cmpautotest-ss-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10057-predomainjoin,virtualmachines,st-datastore-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
azureperformancediagnostics,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10121-insight-agent-windows,virtualmachines,st-jumpbox-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10121-predomainjoin,virtualmachines,st-jumpbox-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dscforlinux,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
enablevmaccess,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1l10080-symantec-agent,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10121-domainjoin,virtualmachines,st-jumpbox-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
azurebackupwindowsworkload,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-jmeter-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-jmeter-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10055-domainjoin,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10055-insight-agent-windows,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10055-predomainjoin,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10061-domain-join,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10061-pre-domain-join,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1w10061-rapid7-insight-agent-windows,virtualmachines,st-datastore-prod-weu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-dwsp-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-jmeter-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
microsoft.powershell.dsc,virtualmachines,st-dwsp-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-epp-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
bginfo,virtualmachines,st-igel-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
customscriptextension,virtualmachines,st-igel-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
dsc,virtualmachines,st-igel-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-igel-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
jsonaddomainextension,virtualmachines,st-igel-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentwindows,virtualmachines,st-insitecaci-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-insitecaci-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
siterecovery-windows,virtualmachines,st-dwsp-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st1l10080-rapid7-insight-agent-linux,virtualmachines,st-netbase-prod-neu-rg,production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10013-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10014-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10014-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10015-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10015-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10016-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10016-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10013-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
saphanapoc-symantec,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
saphanapoc-vmaccessextension,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10010-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10010-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10011-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10012-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10012-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10017-dsc,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10017-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10035-dsc,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10035-rapid7-agent,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10036-dsc,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10036-rapid7-agent,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10037-dsc,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10037-rapid7-agent,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10038-dsc,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
insightagentlinux,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10034-rapid7-agent,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sapprj-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
azurecatextensionhandler,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
config-pre-join-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
join-stwater-domain,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
sqliaasextension,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
st4w10018-rapid7-agent,virtualmachines,st-sappoc-dev-neu-rg,non-production,only approved vm extensions should be installed,unhealthy,low,,,,
